Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,RANDOM,180,33461.2996,1.6047,38989.667,1.8698,72450.9666,3.4745,9968.7908,1.6662,55831.3513,9.3317,65800.1421,10.9979,5.1519,53600,19789,0,5983,0,27828,0,4606,4364,18132,12859,30862,2566,36.91977611940298,561947.9079998836,213595.8799999999,561947.9079998836,177568.14999994234,0.0,0.0,20.695120898503173,25.7183,27.5579,54.3963,24.6391,312.9724,1.6917,1.2091,1.2091,4.7801,1.195,306.9832,1.7055,0,0,0,-1.0,[],[]
ALL,RANDOM,200,36487.483,1.7132,41365.4202,1.9422,77852.9032,3.6554,12095.6468,1.7257,66374.6164,9.4699,78470.2631,11.1956,5.5224,59500,20122,0,7009,0,32369,0,4686,4388,18829,12728,35985,3006,33.818487394957984,618908.8639998428,235250.86800000057,618908.8639998428,196992.8499998877,0.0,0.0,21.932446046833167,27.524,28.0353,56.0301,26.5695,333.9,1.6288,1.2502,1.2502,5.001,1.2503,327.6487,1.6382,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,100,33689.0582,1.6128,53647.0496,2.5683,87336.1078,4.1812,11308.458,1.1188,127734.5463,12.637,139043.0044,13.7557,7.3035,29800,19667,0,10108,0,25,0,5518,5106,21983,12699,2299,1862,65.99664429530202,507300.019999972,169929.00399999917,507300.019999972,126079.85000006689,0.0,0.0,7.247242457466927,33.7228,31.8022,63.2974,31.7831,342.9285,3.266,1.4361,1.4361,5.7196,1.4299,335.7728,3.3577,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,120,37324.6591,1.8496,65228.74,3.2323,102553.399,5.0819,16566.5613,0.9936,316332.155,18.9716,332898.7163,19.9651,11.8156,35700,18962,0,16674,0,64,0,6733,5975,25947,10445,3020,2542,53.11484593837535,656941.3519999662,234271.0439999997,656941.3519999662,147158.5000000246,0.0,0.0,7.964951504454388,34.0337,39.081,74.8795,31.6944,416.1766,3.3294,1.7972,1.7972,6.8901,1.7225,407.4894,3.3957,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,140,35012.7321,2.0047,56538.6487,3.2373,91551.3808,5.242,31358.9352,1.2387,832210.7254,32.8716,863569.6607,34.1103,22.3253,41700,16302,0,25317,0,81,0,7557,6565,30067,6444,4076,3293,39.093525179856115,708483.1199999562,265358.4760000002,708483.1199999562,151643.70000000842,0.0,0.0,9.424035656669464,36.2378,36.7941,75.5676,34.3584,471.0627,3.2487,1.9235,1.9235,7.8621,1.9655,461.2771,3.2948,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,160,29523.0146,1.966,37568.8294,2.5018,67091.844,4.4677,48364.2077,1.447,2043069.6981,61.1258,2091433.9057,62.5728,44.5599,47600,14098,0,33424,0,78,0,8582,6959,33644,2799,5374,4340,29.61764705882353,809487.9359999445,331097.37200000056,809487.9359999445,154204.40000000043,0.0,0.0,11.115756252286369,34.7577,38.6949,76.8886,32.9612,544.3868,3.2993,2.2701,2.2701,9.0493,2.2623,533.0673,3.3317,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,180,34372.789,2.2003,35507.8237,2.2729,69880.6127,4.4732,54472.6644,1.4031,3323396.6971,85.606,3377869.3615,87.0092,63.3265,53600,14644,0,38822,0,134,0,9465,7185,37546,2096,6589,5363,27.32089552238806,970952.4399999342,407279.7280000014,970952.4399999342,168828.9499999544,0.0,0.0,11.928894175090738,36.0111,40.1629,79.5495,34.3602,599.31,3.2395,2.5053,2.5053,9.863,2.4657,586.9416,3.2608,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,200,38245.4509,2.3605,34285.2268,2.1161,72530.6777,4.4766,68515.871,1.5488,5227211.64,118.1584,5295727.511,119.7072,88.8182,59500,15136,0,44239,0,125,0,10273,7011,40960,1508,8267,6617,25.438655462184872,1133640.3879999246,487150.42000000086,1133640.3879999246,185060.89999991716,0.0,0.0,12.856637688875747,39.3984,41.4425,81.5218,37.9772,671.9818,3.278,2.7691,2.7691,10.8855,2.7214,658.3272,3.2916,0,0,0,-1.0,[],[]
ALL,LOCAL,100,46710.618,2.0449,1178.8814,0.0516,47889.4995,2.0965,91350.2095,14.4771,1777224.5596,281.6521,1868574.769,296.1291,65.7381,29800,23414,37,6310,0,39,0,0,0,0,0,29763,23414,78.57046979865771,16936.748000001262,0.0,16936.748000001262,69577.90000002435,0.0,0.0,50.03564653169821,57.8835,0,0,62.7071,239.9137,2.2849,0,0,0,0,239.9137,2.3991,0,0,0,-1.0,[],[]
ALL,LOCAL,120,47114.1629,1.7749,381.5569,0.0144,47495.7198,1.7893,122702.0223,14.4696,2257327.1369,266.1942,2380029.1592,280.6638,69.3083,35700,27197,0,8480,0,23,0,0,0,0,0,35700,27197,76.18207282913166,18757.91200000193,0.0,18757.91200000193,76549.60000003185,0.0,0.0,47.467448736998236,54.2868,0,0,58.0567,290.2596,2.3221,0,0,0,0,290.2596,2.4188,0,0,0,-1.0,[],[]
